epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5643,0.71853,0.39559,0.92806,0.88235,0.78723,0.84502,0.44933,1.61813,1.01844,1.31987,0.00052,0.00052,0.00052
2,22.963,0.78176,0.44306,0.94824,0.88023,0.84255,0.90477,0.49498,1.59492,0.81491,1.35107,0.00103901,0.00103901,0.00103901
3,34.5156,0.79917,0.4669,0.96432,0.8998,0.82979,0.89553,0.49937,1.56069,0.8189,1.32642,0.00153664,0.00153664,0.00153664
4,43.1007,0.88764,0.51784,1.00675,0.87546,0.85106,0.89351,0.47683,1.57945,0.81629,1.33228,0.0018812,0.0018812,0.0018812
5,50.6686,0.9117,0.5523,1.0072,0.92028,0.72766,0.84323,0.43105,1.74776,1.01082,1.43605,0.0018416,0.0018416,0.0018416
6,57.8003,0.91294,0.57352,0.99206,0.86883,0.8456,0.8987,0.4893,1.57578,0.90538,1.33863,0.001802,0.001802,0.001802
7,64.8599,0.90026,0.53449,1.01518,0.84973,0.8,0.85423,0.47407,1.56135,1.0537,1.32716,0.0017624,0.0017624,0.0017624
8,72.2883,0.88857,0.52178,0.99373,0.85994,0.83607,0.88321,0.48224,1.59695,0.79305,1.36429,0.0017228,0.0017228,0.0017228
9,79.5959,0.89279,0.52373,0.99823,0.92455,0.8,0.8882,0.49367,1.65637,0.8542,1.41905,0.0016832,0.0016832,0.0016832
10,86.9592,0.91683,0.54659,1.0131,0.9155,0.82984,0.90798,0.48132,1.65071,0.84162,1.40288,0.0016436,0.0016436,0.0016436
11,94.2105,0.88208,0.5124,0.99109,0.8551,0.88511,0.90267,0.4932,1.59348,0.82438,1.36358,0.001604,0.001604,0.001604
12,101.581,0.87538,0.50277,0.99802,0.89618,0.77135,0.85862,0.46508,1.60614,0.99549,1.37009,0.0015644,0.0015644,0.0015644
13,108.895,0.87984,0.50894,0.99849,0.85607,0.82979,0.88345,0.49323,1.56644,0.82452,1.36592,0.0015248,0.0015248,0.0015248
14,116.711,0.8899,0.51529,1.00356,0.81898,0.87234,0.89213,0.49159,1.60943,0.82162,1.37771,0.0014852,0.0014852,0.0014852
15,124.091,0.84047,0.49693,0.98014,0.90042,0.80799,0.88556,0.48479,1.62639,0.88412,1.41109,0.0014456,0.0014456,0.0014456
16,131.453,0.88663,0.49696,0.99612,0.91708,0.8001,0.89936,0.49445,1.59786,0.85666,1.3545,0.001406,0.001406,0.001406
17,139.007,0.8595,0.48538,0.99072,0.87463,0.86094,0.90913,0.51091,1.54078,0.82489,1.32852,0.0013664,0.0013664,0.0013664
18,147.515,0.87855,0.48998,1.00134,0.87825,0.80851,0.89835,0.51702,1.54147,0.86524,1.33538,0.0013268,0.0013268,0.0013268
19,154.918,0.83176,0.4731,0.96568,0.85639,0.85106,0.90588,0.50469,1.63775,0.79644,1.41054,0.0012872,0.0012872,0.0012872
20,162.191,0.85977,0.49389,0.98477,0.85825,0.85957,0.9003,0.50991,1.58563,0.81269,1.3365,0.0012476,0.0012476,0.0012476
21,169.369,0.83924,0.48654,0.97262,0.92299,0.81603,0.90361,0.50057,1.59867,0.76723,1.38371,0.001208,0.001208,0.001208
22,176.669,0.81949,0.46849,0.96415,0.89614,0.86383,0.91179,0.52314,1.60051,0.73804,1.36276,0.0011684,0.0011684,0.0011684
23,184.272,0.82185,0.45111,0.96741,0.88436,0.84608,0.91178,0.51453,1.5851,0.79463,1.33962,0.0011288,0.0011288,0.0011288
24,191.676,0.80997,0.46785,0.96737,0.89909,0.8341,0.90885,0.50157,1.64758,0.77623,1.41941,0.0010892,0.0010892,0.0010892
25,199.181,0.83266,0.47383,0.98187,0.8711,0.82979,0.88857,0.51135,1.61838,0.78249,1.39147,0.0010496,0.0010496,0.0010496
26,206.764,0.80097,0.4568,0.97267,0.87577,0.88936,0.92817,0.52443,1.55668,0.72508,1.34457,0.00101,0.00101,0.00101
27,214.345,0.79488,0.44966,0.97019,0.902,0.8766,0.92751,0.52137,1.58471,0.74704,1.36547,0.0009704,0.0009704,0.0009704
