epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3905,0.73245,0.42272,0.92733,0.8773,0.78723,0.88758,0.51778,1.55566,0.94321,1.30011,0.000654088,0.000654088,0.000654088
2,19.5625,0.80639,0.46883,0.96735,0.89782,0.84681,0.88396,0.4969,1.55909,0.77722,1.31224,0.0012946,0.0012946,0.0012946
3,28.4999,0.86952,0.53282,0.99231,0.86267,0.86809,0.88811,0.47606,1.59386,0.80027,1.3602,0.00190872,0.00190872,0.00190872
4,36.0776,0.94321,0.56555,1.02185,0.87192,0.87234,0.88569,0.49382,1.54775,0.86352,1.33139,0.0018812,0.0018812,0.0018812
5,43.7655,0.95518,0.57872,1.038,0.90178,0.82128,0.89609,0.48122,1.60934,0.78064,1.3695,0.0018416,0.0018416,0.0018416
6,51.6162,0.95168,0.56919,1.02479,0.86876,0.87324,0.89674,0.49817,1.59728,0.76186,1.3166,0.001802,0.001802,0.001802
7,59.5638,0.90848,0.53483,1.01649,0.85975,0.84681,0.89516,0.48901,1.58119,0.83094,1.31372,0.0017624,0.0017624,0.0017624
8,67.9412,0.91596,0.53195,0.99892,0.86194,0.8766,0.88854,0.48261,1.62147,0.82129,1.37287,0.0017228,0.0017228,0.0017228
9,75.8975,0.89936,0.50665,1.0121,0.89512,0.87164,0.91308,0.50275,1.55889,0.767,1.32737,0.0016832,0.0016832,0.0016832
10,83.8432,0.92403,0.55293,1.02252,0.83774,0.86383,0.88278,0.4979,1.56493,0.82869,1.31379,0.0016436,0.0016436,0.0016436
11,91.8124,0.91714,0.53544,1.01862,0.89915,0.87264,0.90227,0.48973,1.59435,0.76796,1.36158,0.001604,0.001604,0.001604
12,99.9557,0.90357,0.52599,1.00787,0.90972,0.85762,0.92393,0.51163,1.59276,0.79036,1.34161,0.0015644,0.0015644,0.0015644
13,107.958,0.89205,0.52902,1.017,0.90034,0.80851,0.89303,0.50766,1.57658,0.80406,1.3269,0.0015248,0.0015248,0.0015248
14,115.965,0.88445,0.51753,0.99944,0.88394,0.8766,0.92369,0.52921,1.53188,0.75655,1.31471,0.0014852,0.0014852,0.0014852
15,124.036,0.90498,0.50825,0.98834,0.91832,0.88085,0.93417,0.52576,1.52948,0.70163,1.28845,0.0014456,0.0014456,0.0014456
16,132.812,0.89583,0.5108,1.0039,0.90303,0.8383,0.91202,0.5125,1.58909,0.77796,1.35925,0.001406,0.001406,0.001406
17,140.945,0.87221,0.5096,1.00224,0.90301,0.8383,0.89337,0.50367,1.5496,0.76235,1.31692,0.0013664,0.0013664,0.0013664
18,149.052,0.85639,0.4944,0.98241,0.89739,0.89787,0.90411,0.50753,1.58427,0.73303,1.36007,0.0013268,0.0013268,0.0013268
19,157.123,0.84147,0.4824,0.97615,0.88492,0.88353,0.91578,0.50833,1.57484,0.75401,1.32706,0.0012872,0.0012872,0.0012872
20,165.187,0.87434,0.49352,0.99728,0.92415,0.83404,0.90706,0.50721,1.58543,0.76755,1.3367,0.0012476,0.0012476,0.0012476
21,173.353,0.8662,0.48354,0.97605,0.91906,0.85106,0.9246,0.51878,1.56618,0.72921,1.33647,0.001208,0.001208,0.001208
