epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2532,0.80727,0.46557,0.95938,0.9244,0.8325,0.90573,0.51779,1.55697,0.77061,1.34799,0.000660317,0.000660317,0.000660317
2,26.0369,0.84816,0.50966,0.99244,0.90897,0.85106,0.9181,0.49049,1.61598,0.78431,1.367,0.00130071,0.00130071,0.00130071
3,36.4255,0.90806,0.54776,1.00998,0.84819,0.87969,0.91056,0.49475,1.60579,0.78185,1.379,0.0019147,0.0019147,0.0019147
4,46.8287,0.97638,0.58509,1.04666,0.87965,0.83979,0.9063,0.5187,1.5916,0.78431,1.32388,0.0018812,0.0018812,0.0018812
5,57.0226,0.97317,0.61081,1.04599,0.86814,0.81248,0.86086,0.47325,1.58844,0.81893,1.36017,0.0018416,0.0018416,0.0018416
6,67.3596,0.9778,0.58904,1.03851,0.90506,0.84681,0.91365,0.48443,1.58614,0.79778,1.32443,0.001802,0.001802,0.001802
7,77.4507,0.98257,0.5845,1.05333,0.90646,0.86383,0.90977,0.51179,1.60868,0.77702,1.34065,0.0017624,0.0017624,0.0017624
8,87.5528,0.9597,0.56607,1.02806,0.90808,0.84076,0.89228,0.48502,1.59703,0.82539,1.30122,0.0017228,0.0017228,0.0017228
9,97.8488,0.97781,0.5838,1.05014,0.93192,0.83404,0.90675,0.50411,1.6174,0.80487,1.36822,0.0016832,0.0016832,0.0016832
10,108.322,0.95245,0.5846,1.0397,0.88332,0.84681,0.91175,0.50919,1.57622,0.79271,1.32468,0.0016436,0.0016436,0.0016436
11,120.155,0.99129,0.56472,1.04187,0.8883,0.88085,0.92528,0.5109,1.58152,0.77984,1.3104,0.001604,0.001604,0.001604
12,130.469,0.97542,0.5709,1.04637,0.89739,0.84681,0.91447,0.5,1.58872,0.7933,1.32174,0.0015644,0.0015644,0.0015644
13,140.498,0.9513,0.55614,1.03393,0.92635,0.8383,0.917,0.49511,1.64189,0.75822,1.37023,0.0015248,0.0015248,0.0015248
14,150.465,0.91537,0.5566,1.02274,0.90663,0.88936,0.92758,0.50999,1.63339,0.75539,1.36449,0.0014852,0.0014852,0.0014852
15,161.172,0.95335,0.58089,1.0343,0.88944,0.89787,0.92979,0.51134,1.5834,0.73257,1.35335,0.0014456,0.0014456,0.0014456
16,171.538,0.91877,0.5218,1.01705,0.9185,0.84255,0.92706,0.50293,1.58427,0.76446,1.29696,0.001406,0.001406,0.001406
17,181.56,0.94099,0.54054,1.03247,0.84774,0.85292,0.88714,0.50449,1.58091,0.78782,1.32222,0.0013664,0.0013664,0.0013664
18,192.172,0.91373,0.52784,1.026,0.91148,0.87234,0.91991,0.53682,1.52583,0.75218,1.27526,0.0013268,0.0013268,0.0013268
19,202.47,0.93062,0.53091,1.01507,0.86811,0.88085,0.92097,0.50558,1.55609,0.75978,1.31739,0.0012872,0.0012872,0.0012872
20,212.842,0.92018,0.54231,1.02355,0.90821,0.85532,0.91838,0.52576,1.52491,0.75652,1.28763,0.0012476,0.0012476,0.0012476
21,223.624,0.8802,0.52227,0.99331,0.92017,0.8383,0.91809,0.53407,1.58316,0.79835,1.31597,0.001208,0.001208,0.001208
22,233.998,0.89365,0.51645,1.01129,0.89083,0.85106,0.92004,0.5218,1.60321,0.81233,1.32308,0.0011684,0.0011684,0.0011684
23,244.277,0.87395,0.48806,0.99738,0.8795,0.85957,0.9197,0.51322,1.58671,0.76268,1.33171,0.0011288,0.0011288,0.0011288
24,254.344,0.86445,0.49336,0.98656,0.88358,0.85106,0.91065,0.52997,1.56125,0.73925,1.34936,0.0010892,0.0010892,0.0010892
25,264.466,0.85716,0.49256,0.98747,0.87403,0.91529,0.9358,0.52164,1.57724,0.74854,1.34589,0.0010496,0.0010496,0.0010496
26,275.313,0.85894,0.47963,0.98093,0.91007,0.86383,0.92733,0.53609,1.57351,0.71785,1.33244,0.00101,0.00101,0.00101
27,285.74,0.82515,0.47511,0.97513,0.85747,0.89599,0.90398,0.52316,1.57666,0.74633,1.36508,0.0009704,0.0009704,0.0009704
28,295.844,0.86511,0.48287,0.98796,0.87706,0.88037,0.91121,0.51619,1.57549,0.72719,1.35103,0.0009308,0.0009308,0.0009308
29,305.984,0.84527,0.48168,0.99141,0.91844,0.84681,0.92965,0.54042,1.53982,0.733,1.31121,0.0008912,0.0008912,0.0008912
30,315.914,0.81393,0.46676,0.97535,0.88634,0.86383,0.91606,0.53873,1.54534,0.74532,1.32886,0.0008516,0.0008516,0.0008516
31,326,0.83994,0.47363,0.97952,0.90717,0.87323,0.93478,0.52911,1.55778,0.72749,1.33511,0.000812,0.000812,0.000812
32,336.268,0.83905,0.46229,0.98695,0.89712,0.89053,0.92481,0.53249,1.54427,0.74222,1.33455,0.0007724,0.0007724,0.0007724
33,346.136,0.82323,0.46292,0.97253,0.90728,0.87442,0.93095,0.52856,1.57199,0.78413,1.32981,0.0007328,0.0007328,0.0007328
34,356.069,0.80098,0.45201,0.97101,0.85992,0.89362,0.92622,0.53348,1.56967,0.7462,1.33623,0.0006932,0.0006932,0.0006932
35,366.112,0.80717,0.45393,0.9771,0.94513,0.8383,0.9303,0.54259,1.55511,0.72664,1.31444,0.0006536,0.0006536,0.0006536
36,376.402,0.79348,0.43509,0.97007,0.92094,0.84268,0.92704,0.52786,1.58763,0.74423,1.34276,0.000614,0.000614,0.000614
