epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9164,0.86891,0.48638,0.97735,0.87202,0.84084,0.90037,0.51315,1.54192,0.75959,1.26871,0.000654088,0.000654088,0.000654088
2,20.4624,0.91777,0.52394,1.01491,0.87509,0.86451,0.90372,0.50609,1.53135,0.73116,1.29654,0.0012946,0.0012946,0.0012946
3,28.4614,0.99294,0.6001,1.04427,0.88022,0.84432,0.89098,0.48718,1.60001,0.76957,1.34005,0.00190872,0.00190872,0.00190872
4,36.3151,1.0226,0.61323,1.06746,0.87791,0.85675,0.89223,0.49496,1.57131,0.79329,1.31642,0.0018812,0.0018812,0.0018812
5,44.3161,1.04865,0.6348,1.07539,0.88578,0.85957,0.91154,0.47483,1.60009,0.78807,1.35427,0.0018416,0.0018416,0.0018416
6,52.2653,1.06024,0.63645,1.0702,0.88356,0.87182,0.92572,0.48792,1.64089,0.84141,1.334,0.001802,0.001802,0.001802
7,60.4696,1.0427,0.6223,1.07736,0.85151,0.8383,0.87599,0.46215,1.59809,0.88048,1.31157,0.0017624,0.0017624,0.0017624
8,68.4046,1.0087,0.60441,1.05131,0.85868,0.84255,0.8908,0.48273,1.54238,0.82735,1.28296,0.0017228,0.0017228,0.0017228
9,76.4139,0.9836,0.57223,1.04877,0.85591,0.85532,0.90896,0.49432,1.57588,0.82068,1.31614,0.0016832,0.0016832,0.0016832
10,84.5237,0.99997,0.59572,1.06868,0.86164,0.87234,0.89411,0.49573,1.55446,0.83822,1.32133,0.0016436,0.0016436,0.0016436
11,93.1155,1.01348,0.59795,1.06298,0.85502,0.87234,0.88758,0.49772,1.59196,0.81948,1.34029,0.001604,0.001604,0.001604
12,101.511,0.9939,0.58894,1.05374,0.84814,0.88936,0.92004,0.50799,1.56766,0.78489,1.32652,0.0015644,0.0015644,0.0015644
13,110.167,0.9866,0.58039,1.05985,0.88547,0.84255,0.88969,0.4781,1.60585,0.77789,1.31798,0.0015248,0.0015248,0.0015248
14,118.579,0.97011,0.55551,1.03787,0.93787,0.84255,0.92268,0.51676,1.57799,0.78528,1.29774,0.0014852,0.0014852,0.0014852
15,126.666,0.98126,0.55915,1.02895,0.88472,0.87234,0.91736,0.51892,1.54853,0.74783,1.27374,0.0014456,0.0014456,0.0014456
16,134.912,0.96635,0.55723,1.04101,0.873,0.8766,0.92556,0.50872,1.55058,0.77505,1.27633,0.001406,0.001406,0.001406
17,143.12,0.95377,0.55873,1.03494,0.87515,0.89486,0.9198,0.53604,1.49331,0.76636,1.26427,0.0013664,0.0013664,0.0013664
18,151.162,0.95522,0.54033,1.02813,0.88554,0.88511,0.92591,0.5269,1.53878,0.70098,1.28487,0.0013268,0.0013268,0.0013268
19,159.315,0.92533,0.52127,1.01202,0.86107,0.86809,0.91232,0.51518,1.55171,0.72901,1.29816,0.0012872,0.0012872,0.0012872
20,167.485,0.94595,0.53697,1.03183,0.90186,0.82979,0.89611,0.49833,1.58106,0.78112,1.31585,0.0012476,0.0012476,0.0012476
21,175.959,0.94044,0.51179,1.00821,0.88501,0.88085,0.92134,0.51019,1.57673,0.73966,1.31307,0.001208,0.001208,0.001208
22,184.327,0.96582,0.53659,1.02325,0.90506,0.88511,0.9202,0.51888,1.5313,0.71777,1.28465,0.0011684,0.0011684,0.0011684
23,194.149,0.91004,0.51207,1.01499,0.87118,0.90213,0.92388,0.53078,1.56421,0.7392,1.30932,0.0011288,0.0011288,0.0011288
24,202.806,0.89948,0.51585,1.01646,0.90421,0.88085,0.93198,0.53212,1.56737,0.74667,1.31472,0.0010892,0.0010892,0.0010892
25,211.878,0.89704,0.51092,1.01436,0.86944,0.87846,0.92123,0.53641,1.53788,0.84203,1.29684,0.0010496,0.0010496,0.0010496
26,220.051,0.91002,0.52219,1.01175,0.8893,0.89787,0.93836,0.53725,1.52821,0.69428,1.28619,0.00101,0.00101,0.00101
27,228.701,0.91417,0.51347,1.00649,0.87869,0.88085,0.93031,0.51896,1.55748,0.73956,1.29969,0.0009704,0.0009704,0.0009704
28,237.171,0.90141,0.49581,1.00162,0.88164,0.89362,0.92351,0.52591,1.53679,0.68986,1.31747,0.0009308,0.0009308,0.0009308
29,245.58,0.86834,0.48113,0.98962,0.90564,0.89848,0.93542,0.5468,1.53752,0.68082,1.31042,0.0008912,0.0008912,0.0008912
30,254.153,0.88768,0.48685,1.00072,0.91401,0.88085,0.93094,0.53226,1.54657,0.71396,1.30809,0.0008516,0.0008516,0.0008516
31,262.258,0.87604,0.48133,0.98441,0.89653,0.88936,0.9255,0.52556,1.53453,0.73804,1.29811,0.000812,0.000812,0.000812
32,270.467,0.86724,0.48868,0.99665,0.92131,0.84695,0.92828,0.52948,1.59863,0.75179,1.33914,0.0007724,0.0007724,0.0007724
33,278.638,0.8323,0.46485,0.98131,0.88957,0.88936,0.92609,0.52548,1.55309,0.72459,1.31046,0.0007328,0.0007328,0.0007328
34,286.811,0.84613,0.45106,0.97475,0.92061,0.8882,0.93543,0.53012,1.53756,0.68816,1.29631,0.0006932,0.0006932,0.0006932
35,294.99,0.85105,0.46232,0.98681,0.88325,0.8692,0.90949,0.51285,1.56448,0.72058,1.28928,0.0006536,0.0006536,0.0006536
36,303.111,0.83072,0.44674,0.97012,0.90646,0.89787,0.91757,0.50639,1.59479,0.72851,1.31891,0.000614,0.000614,0.000614
37,311.281,0.80921,0.44222,0.97058,0.91214,0.88353,0.91839,0.53512,1.53763,0.69658,1.31364,0.0005744,0.0005744,0.0005744
38,319.548,0.81851,0.44693,0.98211,0.92649,0.85807,0.92029,0.53122,1.54652,0.68494,1.30149,0.0005348,0.0005348,0.0005348
39,327.66,0.82176,0.44454,0.97124,0.90281,0.8766,0.91448,0.53126,1.52645,0.67989,1.29739,0.0004952,0.0004952,0.0004952
40,335.813,0.81438,0.43522,0.96043,0.89667,0.8862,0.92354,0.53162,1.54629,0.67461,1.30339,0.0004556,0.0004556,0.0004556
