epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5994,1.66248,1.51155,1.47214,0.78269,0.49046,0.58052,0.29299,1.86228,1.83744,1.54992,0.000654088,0.000654088,0.000654088
2,20.2985,1.38218,0.9695,1.25137,0.84408,0.81277,0.88391,0.43412,1.66447,0.94623,1.32901,0.0012946,0.0012946,0.0012946
3,28.4384,1.3443,0.92221,1.21616,0.80169,0.85106,0.85782,0.42876,1.66861,0.97804,1.31968,0.00190872,0.00190872,0.00190872
4,36.4683,1.34272,0.90118,1.21793,0.84305,0.82287,0.86964,0.46376,1.57124,0.9329,1.28274,0.0018812,0.0018812,0.0018812
5,44.5495,1.34167,0.88765,1.22887,0.82146,0.79574,0.85616,0.44899,1.60339,0.98042,1.33027,0.0018416,0.0018416,0.0018416
6,52.6252,1.3439,0.88631,1.21308,0.81437,0.86809,0.91406,0.47242,1.58791,0.88166,1.25601,0.001802,0.001802,0.001802
7,60.7932,1.31844,0.83713,1.21719,0.86522,0.8,0.87336,0.44108,1.63558,1.01045,1.29235,0.0017624,0.0017624,0.0017624
8,68.936,1.2562,0.81135,1.16444,0.82984,0.77447,0.87301,0.46649,1.55326,0.9053,1.25432,0.0017228,0.0017228,0.0017228
9,77.0586,1.21738,0.77051,1.16375,0.87263,0.82553,0.88972,0.47555,1.5573,0.90867,1.26741,0.0016832,0.0016832,0.0016832
10,85.1002,1.23521,0.78794,1.17221,0.83269,0.79149,0.86169,0.47443,1.60513,0.89048,1.28574,0.0016436,0.0016436,0.0016436
11,93.3034,1.24539,0.75457,1.16831,0.87075,0.87234,0.91387,0.49235,1.54187,0.80638,1.26483,0.001604,0.001604,0.001604
12,101.477,1.2512,0.75952,1.16934,0.87634,0.87234,0.89697,0.49022,1.59654,0.85795,1.32237,0.0015644,0.0015644,0.0015644
13,109.703,1.23511,0.74164,1.18372,0.87185,0.79574,0.87834,0.48342,1.55035,0.83012,1.28627,0.0015248,0.0015248,0.0015248
14,117.74,1.21354,0.73252,1.15594,0.85985,0.78321,0.89233,0.48237,1.58261,0.84524,1.28146,0.0014852,0.0014852,0.0014852
15,125.975,1.18916,0.72041,1.13055,0.9054,0.81459,0.91534,0.49051,1.56735,0.80873,1.26145,0.0014456,0.0014456,0.0014456
16,134.061,1.20973,0.70585,1.14494,0.86689,0.85914,0.90857,0.48238,1.57088,0.83245,1.27515,0.001406,0.001406,0.001406
17,142.279,1.20519,0.71227,1.15185,0.8659,0.85106,0.9184,0.52021,1.5146,0.77784,1.25642,0.0013664,0.0013664,0.0013664
18,150.4,1.16364,0.66696,1.1209,0.92278,0.85106,0.92535,0.51274,1.56433,0.76028,1.28887,0.0013268,0.0013268,0.0013268
19,158.579,1.14009,0.67349,1.10165,0.89227,0.8766,0.93136,0.52003,1.52614,0.73564,1.24812,0.0012872,0.0012872,0.0012872
20,166.774,1.14493,0.67678,1.12114,0.86888,0.88085,0.92709,0.50594,1.53923,0.77502,1.25124,0.0012476,0.0012476,0.0012476
21,174.919,1.13644,0.64846,1.09992,0.87069,0.85106,0.91524,0.52601,1.52601,0.82743,1.25132,0.001208,0.001208,0.001208
22,183.081,1.18068,0.67993,1.1352,0.85609,0.86383,0.91833,0.51673,1.55203,0.79944,1.25154,0.0011684,0.0011684,0.0011684
23,191.229,1.11472,0.63205,1.11309,0.88489,0.88321,0.92118,0.51511,1.58298,0.75995,1.27857,0.0011288,0.0011288,0.0011288
24,199.415,1.09044,0.63647,1.09862,0.84111,0.87854,0.92128,0.52048,1.51407,0.77386,1.25204,0.0010892,0.0010892,0.0010892
25,207.692,1.11453,0.63496,1.10663,0.92401,0.82791,0.9257,0.51415,1.55388,0.79625,1.29671,0.0010496,0.0010496,0.0010496
26,215.91,1.09818,0.63071,1.09558,0.92162,0.85055,0.92958,0.51676,1.53869,0.73021,1.27692,0.00101,0.00101,0.00101
27,224.197,1.11002,0.63097,1.10074,0.89947,0.88936,0.93565,0.51117,1.50089,0.71233,1.25161,0.0009704,0.0009704,0.0009704
28,232.314,1.09403,0.60932,1.09179,0.84358,0.88085,0.91914,0.5162,1.52566,0.77323,1.26402,0.0009308,0.0009308,0.0009308
29,240.605,1.07826,0.59585,1.08358,0.90501,0.85138,0.93515,0.52791,1.53069,0.73988,1.2668,0.0008912,0.0008912,0.0008912
30,248.737,1.05736,0.58618,1.07631,0.89051,0.8383,0.92254,0.51467,1.55401,0.74687,1.28668,0.0008516,0.0008516,0.0008516
31,256.991,1.07163,0.58952,1.06955,0.89757,0.89362,0.94221,0.53064,1.50973,0.7438,1.25801,0.000812,0.000812,0.000812
32,265.262,1.06579,0.60054,1.08519,0.89743,0.88085,0.93304,0.52272,1.55186,0.73432,1.27948,0.0007724,0.0007724,0.0007724
33,273.548,1.03153,0.57737,1.07246,0.90594,0.86065,0.93498,0.52355,1.54922,0.75499,1.28192,0.0007328,0.0007328,0.0007328
34,281.747,1.04981,0.56121,1.06349,0.84993,0.89174,0.92324,0.52851,1.53076,0.71283,1.25697,0.0006932,0.0006932,0.0006932
35,290.015,1.04673,0.58274,1.07669,0.87596,0.88085,0.93681,0.52647,1.55319,0.72749,1.27108,0.0006536,0.0006536,0.0006536
36,298.246,1.03095,0.55998,1.05326,0.88387,0.87443,0.92788,0.5141,1.54417,0.73992,1.28015,0.000614,0.000614,0.000614
37,306.535,0.99715,0.54472,1.04794,0.8588,0.88085,0.93039,0.53134,1.53062,0.74209,1.26718,0.0005744,0.0005744,0.0005744
38,314.714,1.01441,0.55741,1.06521,0.85244,0.885,0.9332,0.51191,1.56076,0.75693,1.29028,0.0005348,0.0005348,0.0005348
39,322.904,1.00434,0.54162,1.05104,0.8876,0.89362,0.93504,0.53678,1.54411,0.70251,1.28005,0.0004952,0.0004952,0.0004952
40,331.089,1.00114,0.52903,1.03532,0.89522,0.87259,0.94027,0.54187,1.50445,0.71501,1.25674,0.0004556,0.0004556,0.0004556
41,378.081,0.95771,0.47923,1.02105,0.8984,0.86544,0.93183,0.52846,1.52602,0.71475,1.29073,0.000416,0.000416,0.000416
42,386.129,0.93908,0.48352,1.01875,0.90248,0.85957,0.91838,0.52859,1.55351,0.74264,1.30145,0.0003764,0.0003764,0.0003764
43,394.061,0.92138,0.45797,1.0072,0.9155,0.87593,0.93745,0.54656,1.51911,0.68778,1.24626,0.0003368,0.0003368,0.0003368
44,402.038,0.9066,0.44133,0.99907,0.93718,0.85957,0.9438,0.54142,1.50511,0.68884,1.24103,0.0002972,0.0002972,0.0002972
45,410.48,0.89816,0.43057,0.99094,0.90439,0.89362,0.94802,0.54765,1.49418,0.69934,1.24115,0.0002576,0.0002576,0.0002576
46,418.638,0.8962,0.44089,0.99625,0.91736,0.85027,0.93472,0.53778,1.50284,0.71325,1.23685,0.000218,0.000218,0.000218
47,426.798,0.89176,0.43188,0.9871,0.90312,0.86383,0.93641,0.53393,1.52516,0.70999,1.26414,0.0001784,0.0001784,0.0001784
48,434.898,0.8675,0.42442,0.99192,0.86568,0.88936,0.93146,0.53677,1.51345,0.70618,1.26001,0.0001388,0.0001388,0.0001388
49,442.925,0.88469,0.41545,0.98104,0.8796,0.88511,0.93311,0.53866,1.51687,0.69909,1.25903,9.92e-05,9.92e-05,9.92e-05
50,450.991,0.85676,0.42252,0.98342,0.89923,0.87335,0.93432,0.53521,1.51116,0.69917,1.25921,5.96e-05,5.96e-05,5.96e-05
