epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0634,1.84778,3.31088,1.55204,0.25833,0.1617,0.14013,0.06051,1.77667,3.37242,1.50396,0.000660317,0.000660317,0.000660317
2,25.4768,1.7553,2.49646,1.52881,0.66873,0.65532,0.68461,0.29397,1.85832,4.26819,1.48448,0.00130071,0.00130071,0.00130071
3,35.8372,1.76021,2.0644,1.4883,0.72851,0.50638,0.57807,0.24949,1.82909,3.45081,1.4066,0.0019147,0.0019147,0.0019147
4,45.9528,1.72825,1.85582,1.48773,0.63861,0.64255,0.66474,0.30453,1.72584,1.64757,1.34261,0.0018812,0.0018812,0.0018812
5,56.1983,1.6752,1.6323,1.43477,0.74977,0.51489,0.6336,0.29833,1.76867,1.56247,1.41538,0.0018416,0.0018416,0.0018416
6,66.7572,1.62527,1.46993,1.40261,0.7967,0.6837,0.78902,0.38237,1.6457,1.34827,1.31171,0.001802,0.001802,0.001802
7,77.056,1.58927,1.38037,1.39676,0.79286,0.59149,0.72703,0.38524,1.58242,1.51584,1.27421,0.0017624,0.0017624,0.0017624
8,87.054,1.52636,1.25622,1.327,0.76733,0.7017,0.73916,0.36616,1.68879,1.4123,1.29613,0.0017228,0.0017228,0.0017228
9,97.1936,1.54671,1.21923,1.35746,0.7635,0.78304,0.79631,0.41678,1.58017,1.40936,1.27877,0.0016832,0.0016832,0.0016832
10,107.307,1.52697,1.24643,1.33896,0.79132,0.82297,0.85714,0.42934,1.66015,1.14883,1.29574,0.0016436,0.0016436,0.0016436
11,117.314,1.53254,1.19443,1.33273,0.86201,0.77088,0.86591,0.47405,1.55428,1.1505,1.26181,0.001604,0.001604,0.001604
12,127.682,1.49274,1.14525,1.32445,0.85842,0.8383,0.89576,0.45169,1.59329,1.18659,1.27148,0.0015644,0.0015644,0.0015644
13,138.675,1.48079,1.09649,1.3056,0.82024,0.79574,0.86482,0.45005,1.57151,1.08353,1.23793,0.0015248,0.0015248,0.0015248
