epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3772,0.99307,0.57985,1.03801,0.83527,0.62553,0.75369,0.39383,1.71662,1.19407,1.31773,0.00052,0.00052,0.00052
2,19.3172,1.0514,0.60722,1.06809,0.83355,0.85106,0.89615,0.47796,1.55687,0.90489,1.24926,0.00103901,0.00103901,0.00103901
3,26.4288,1.0487,0.6357,1.06566,0.88632,0.86265,0.90128,0.48398,1.57315,0.8234,1.28332,0.00153664,0.00153664,0.00153664
4,33.5377,1.14397,0.68343,1.13107,0.83285,0.86929,0.90424,0.48215,1.6172,0.88479,1.33697,0.0018812,0.0018812,0.0018812
5,40.7021,1.14365,0.71039,1.12467,0.8088,0.74043,0.82795,0.43878,1.63499,1.00224,1.31714,0.0018416,0.0018416,0.0018416
6,47.8306,1.15782,0.73467,1.11624,0.89294,0.81702,0.89452,0.4792,1.59674,0.83627,1.31194,0.001802,0.001802,0.001802
7,54.8457,1.14983,0.69478,1.12782,0.82149,0.7833,0.86395,0.44947,1.64401,0.89951,1.34397,0.0017624,0.0017624,0.0017624
8,61.997,1.13936,0.66481,1.11553,0.88723,0.83698,0.91019,0.48358,1.54008,0.84954,1.26182,0.0017228,0.0017228,0.0017228
9,69.0558,1.14578,0.6808,1.10638,0.85896,0.81277,0.89653,0.47953,1.55935,0.89394,1.26801,0.0016832,0.0016832,0.0016832
10,76.1735,1.12448,0.70047,1.09984,0.88358,0.83404,0.916,0.48836,1.59367,0.81531,1.31443,0.0016436,0.0016436,0.0016436
11,83.2679,1.12617,0.64562,1.09617,0.86743,0.79574,0.88143,0.47952,1.6315,0.85566,1.32321,0.001604,0.001604,0.001604
12,90.3481,1.15412,0.67053,1.1299,0.89942,0.7991,0.90705,0.50693,1.53231,0.87374,1.26698,0.0015644,0.0015644,0.0015644
13,97.4363,1.10234,0.65475,1.09772,0.85719,0.83404,0.88475,0.48972,1.57747,0.84434,1.2917,0.0015248,0.0015248,0.0015248
14,104.536,1.10042,0.64603,1.08859,0.84168,0.89362,0.91421,0.51003,1.51495,0.78962,1.25552,0.0014852,0.0014852,0.0014852
15,111.635,1.05344,0.61881,1.06898,0.87007,0.84681,0.8897,0.47651,1.59495,0.77538,1.33161,0.0014456,0.0014456,0.0014456
16,118.709,1.08207,0.62959,1.07847,0.88361,0.83993,0.90536,0.49676,1.60964,0.82291,1.31289,0.001406,0.001406,0.001406
17,125.882,1.104,0.61839,1.09465,0.87066,0.83069,0.90278,0.49434,1.58501,0.84276,1.30158,0.0013664,0.0013664,0.0013664
18,133.024,1.0989,0.62862,1.10567,0.86738,0.85532,0.9082,0.50656,1.5509,0.84888,1.28415,0.0013268,0.0013268,0.0013268
19,140.231,1.05545,0.59971,1.06311,0.8813,0.86383,0.93026,0.52578,1.51212,0.76557,1.27125,0.0012872,0.0012872,0.0012872
20,147.394,1.07475,0.61633,1.08452,0.85648,0.86809,0.91652,0.49876,1.58405,0.80627,1.29203,0.0012476,0.0012476,0.0012476
21,154.53,1.0575,0.60982,1.0623,0.87236,0.84338,0.91177,0.51583,1.55835,0.76712,1.2936,0.001208,0.001208,0.001208
22,162.039,1.03183,0.5714,1.0505,0.84392,0.87435,0.90287,0.50151,1.6048,0.77734,1.35244,0.0011684,0.0011684,0.0011684
23,169.578,1.0421,0.57304,1.06297,0.90159,0.84681,0.92944,0.52196,1.5756,0.76131,1.30175,0.0011288,0.0011288,0.0011288
24,176.925,1.01537,0.56802,1.05941,0.8349,0.88225,0.90874,0.51132,1.56141,0.76424,1.31143,0.0010892,0.0010892,0.0010892
25,184.054,1.03382,0.57426,1.06387,0.82863,0.90534,0.90778,0.50417,1.55715,0.73715,1.32254,0.0010496,0.0010496,0.0010496
26,191.261,0.99503,0.56054,1.0535,0.85622,0.91064,0.92965,0.52813,1.53168,0.72542,1.3086,0.00101,0.00101,0.00101
27,198.405,1.01042,0.56089,1.06228,0.88884,0.82128,0.9029,0.50421,1.56779,0.78574,1.30076,0.0009704,0.0009704,0.0009704
28,205.646,0.98102,0.54315,1.02804,0.89746,0.89381,0.94146,0.52597,1.55566,0.73803,1.31181,0.0009308,0.0009308,0.0009308
29,212.818,1.00312,0.54967,1.06035,0.90601,0.86144,0.92732,0.52256,1.5728,0.73915,1.30797,0.0008912,0.0008912,0.0008912
30,220.043,0.99299,0.55633,1.05641,0.89111,0.89362,0.93534,0.53491,1.57834,0.73409,1.29754,0.0008516,0.0008516,0.0008516
31,227.203,0.95143,0.53304,1.02571,0.8685,0.92748,0.93045,0.52709,1.56039,0.73179,1.28529,0.000812,0.000812,0.000812
32,234.422,0.95263,0.52066,1.03211,0.84456,0.90213,0.91514,0.52697,1.55387,0.76451,1.29603,0.0007724,0.0007724,0.0007724
33,241.62,0.95348,0.53068,1.02513,0.8314,0.9023,0.91176,0.5284,1.55437,0.7354,1.30205,0.0007328,0.0007328,0.0007328
34,248.798,0.95285,0.52231,1.03154,0.86596,0.90723,0.92075,0.53683,1.54391,0.70839,1.28445,0.0006932,0.0006932,0.0006932
35,256.019,0.9621,0.51044,1.02478,0.87058,0.91601,0.94452,0.53189,1.56093,0.73472,1.293,0.0006536,0.0006536,0.0006536
36,263.17,0.93813,0.4959,1.02003,0.86099,0.92245,0.93509,0.53049,1.57204,0.6978,1.29886,0.000614,0.000614,0.000614
37,270.42,0.9163,0.49696,1.01475,0.87679,0.87815,0.93097,0.52833,1.55144,0.74116,1.28954,0.0005744,0.0005744,0.0005744
38,277.593,0.92788,0.50241,1.01729,0.87001,0.9114,0.92482,0.53431,1.5328,0.72603,1.30204,0.0005348,0.0005348,0.0005348
39,284.855,0.90681,0.48149,1.00806,0.87028,0.90638,0.93844,0.53431,1.53173,0.7151,1.27552,0.0004952,0.0004952,0.0004952
40,292.057,0.90941,0.48767,1.01476,0.87957,0.90128,0.92909,0.53304,1.54684,0.70551,1.29505,0.0004556,0.0004556,0.0004556
41,340.008,0.87471,0.43006,0.96968,0.88396,0.88085,0.93107,0.52201,1.57504,0.71307,1.32464,0.000416,0.000416,0.000416
42,347.072,0.8571,0.42291,0.96907,0.86965,0.90848,0.92911,0.53174,1.5634,0.71824,1.30652,0.0003764,0.0003764,0.0003764
43,354.028,0.8242,0.40149,0.96454,0.90371,0.87868,0.9337,0.5403,1.55201,0.70663,1.30146,0.0003368,0.0003368,0.0003368
44,360.971,0.82108,0.40958,0.96191,0.87912,0.86657,0.92514,0.52887,1.59419,0.72647,1.31911,0.0002972,0.0002972,0.0002972
45,368.515,0.81223,0.39527,0.95796,0.88899,0.88603,0.92912,0.54177,1.5572,0.70228,1.31294,0.0002576,0.0002576,0.0002576
46,375.771,0.81101,0.39649,0.95154,0.9066,0.89362,0.94184,0.53784,1.57263,0.70305,1.32175,0.000218,0.000218,0.000218
47,382.833,0.79413,0.38461,0.94868,0.86698,0.88936,0.91881,0.5328,1.5534,0.70585,1.31288,0.0001784,0.0001784,0.0001784
48,389.863,0.78166,0.3836,0.93739,0.88886,0.89787,0.92861,0.53527,1.54317,0.69188,1.30983,0.0001388,0.0001388,0.0001388
49,396.966,0.78364,0.38104,0.94607,0.8853,0.90213,0.93081,0.536,1.56044,0.68634,1.32006,9.92e-05,9.92e-05,9.92e-05
50,404.072,0.77472,0.38016,0.94637,0.88389,0.89362,0.92583,0.5387,1.55347,0.67692,1.3159,5.96e-05,5.96e-05,5.96e-05
