epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5349,0.92042,0.53951,1.00467,0.86772,0.92118,0.93134,0.51453,1.55997,0.73156,1.2927,0.000660317,0.000660317,0.000660317
2,25.423,1.0052,0.60197,1.06608,0.90322,0.8766,0.94516,0.50822,1.56521,0.7741,1.30551,0.00130071,0.00130071,0.00130071
3,35.4311,1.06298,0.65629,1.08894,0.87477,0.84255,0.89512,0.47466,1.57188,0.85724,1.31088,0.0019147,0.0019147,0.0019147
4,45.9248,1.08707,0.65937,1.09153,0.82275,0.88085,0.89091,0.48002,1.61444,0.82693,1.30772,0.0018812,0.0018812,0.0018812
5,56.0223,1.11948,0.69736,1.11009,0.81203,0.8456,0.88333,0.47353,1.65876,0.83264,1.34526,0.0018416,0.0018416,0.0018416
6,66.0711,1.10135,0.67372,1.11246,0.84419,0.8766,0.88335,0.47456,1.59435,0.86136,1.31294,0.001802,0.001802,0.001802
7,76.2247,1.08128,0.66616,1.10231,0.89329,0.85957,0.91608,0.52894,1.55708,0.77428,1.30396,0.0017624,0.0017624,0.0017624
8,86.8034,1.0812,0.64135,1.08968,0.86718,0.84681,0.89536,0.49654,1.58084,0.83372,1.31838,0.0017228,0.0017228,0.0017228
9,96.813,1.09136,0.64589,1.0988,0.88709,0.86924,0.91093,0.48613,1.57446,0.85239,1.31803,0.0016832,0.0016832,0.0016832
10,107.072,1.07524,0.66826,1.09234,0.87315,0.87234,0.92551,0.507,1.55934,0.82186,1.30998,0.0016436,0.0016436,0.0016436
11,117.373,1.08794,0.63135,1.09427,0.86038,0.91489,0.93398,0.502,1.61588,0.79022,1.32321,0.001604,0.001604,0.001604
12,127.408,1.05838,0.64215,1.08573,0.87602,0.86809,0.92104,0.49586,1.58994,0.79367,1.32168,0.0015644,0.0015644,0.0015644
13,137.555,1.08171,0.6152,1.09465,0.85912,0.88227,0.93012,0.49951,1.61935,0.75016,1.30965,0.0015248,0.0015248,0.0015248
14,147.539,1.06429,0.62798,1.07952,0.90296,0.83148,0.91755,0.50887,1.6334,0.81798,1.31546,0.0014852,0.0014852,0.0014852
15,158.39,1.0825,0.64812,1.09323,0.84807,0.9026,0.91954,0.5033,1.59134,0.79728,1.30493,0.0014456,0.0014456,0.0014456
16,168.262,1.02917,0.57537,1.06285,0.88436,0.87863,0.92689,0.52687,1.55663,0.767,1.29251,0.001406,0.001406,0.001406
17,178.553,1.04769,0.59472,1.08292,0.84843,0.83371,0.89708,0.51127,1.53826,0.79969,1.28597,0.0013664,0.0013664,0.0013664
18,188.537,1.01844,0.58586,1.07895,0.86001,0.85532,0.90722,0.51287,1.55628,0.8404,1.26842,0.0013268,0.0013268,0.0013268
19,198.709,1.05091,0.58997,1.07482,0.89768,0.85868,0.90725,0.5135,1.55066,0.81004,1.31546,0.0012872,0.0012872,0.0012872
20,208.865,1.02869,0.60481,1.07097,0.89625,0.8383,0.92001,0.50264,1.56756,0.77948,1.27805,0.0012476,0.0012476,0.0012476
21,218.736,1.00422,0.59545,1.04554,0.88584,0.85848,0.9166,0.51607,1.56637,0.77188,1.30884,0.001208,0.001208,0.001208
